source,target,number of recipes,breakfast,brunch,lunch,dinner,dessert,ice cream,drink,vegan,vegetarian
milk/cream,orange,51,2,3,0,0,38,0,7,0,25
mushroom,parmesan,51,2,2,7,9,0,0,0,0,21
salad dressing,vinegar,51,0,0,0,3,0,0,0,4,7
chicken,citrus,50,0,0,5,10,0,0,0,0,0
coconut,egg,50,0,1,0,0,46,0,0,0,29
garlic,milk/cream,50,0,0,1,8,0,0,0,0,19
lamb,onion,50,0,0,0,10,0,0,0,0,0
apple,fruit juice,49,6,6,2,2,9,0,12,6,15
chicken,mustard,49,0,0,2,14,0,0,0,0,0
chocolate,cream cheese,49,1,1,0,0,48,0,0,0,31
cinnamon,egg,49,8,8,0,0,38,0,2,0,33
egg,pork,49,14,17,6,2,0,0,0,0,1
fennel,onion,49,0,1,3,5,0,0,0,9,14
garlic,shrimp,49,1,0,3,5,0,0,0,0,0
ginger,tomato,49,0,0,5,10,0,0,0,7,7
herb,tarragon,49,2,2,5,12,0,0,0,4,13
pasta,sausage,49,0,0,5,16,0,0,0,0,0
cheese,pepper,48,6,7,8,4,0,0,0,0,27
chicken,white wine,48,0,0,2,8,0,0,0,0,0
fruit juice,lemon,48,0,2,0,0,5,0,32,3,6
lime,onion,48,1,1,1,3,0,0,0,9,16
milk/cream,sour cream,48,3,2,3,0,25,0,0,0,20
mushroom,white wine,48,0,0,3,6,0,0,0,0,10
tomato,vinegar,48,0,0,4,4,0,0,0,8,12
avocado,tomato,47,1,1,7,4,0,0,0,9,17
berry,milk/cream,47,3,2,0,0,44,0,0,0,31
cheese,mozzarella,47,3,2,10,9,0,0,0,0,20
chicken,pepper,47,1,0,2,7,0,0,0,0,0
chocolate,orange,47,2,3,0,0,43,0,1,0,18
clove,ginger,47,2,3,0,6,18,0,8,3,19
corn,milk/cream,47,3,4,8,5,1,1,0,0,14
fish,olive,47,0,0,4,10,0,0,0,0,0
fish,pasta,47,0,0,2,11,0,0,0,0,0
ginger,orange,47,0,1,0,3,10,0,3,7,11
goat cheese,tomato,47,1,3,12,7,0,0,0,0,31
hot pepper,lime,47,1,0,1,2,0,0,0,2,5
lime,mint,47,2,2,2,1,6,0,12,5,10
bacon,leafy green,46,1,2,9,4,0,0,0,0,0
