source,target,number of recipes,breakfast,brunch,lunch,dinner,dessert,ice cream,drink,vegan,vegetarian
cranberry,rum,7,0,0,0,0,1,0,6,0,1
cream cheese,liqueur,7,0,0,0,0,7,0,0,0,2
cream cheese,shrimp,7,0,1,0,0,0,0,0,0,0
cucumber,egg,7,1,2,4,2,0,0,0,0,1
cucumber,horseradish,7,0,2,2,0,0,0,1,0,2
cucumber,hot pepper,7,0,0,3,3,0,0,0,1,0
cumin,yogurt,7,0,1,1,2,0,0,0,0,3
currant,onion,7,0,0,0,0,0,0,0,0,2
curry,leafy green,7,0,0,2,0,0,0,0,1,1
curry,pasta,7,0,0,1,1,0,0,0,0,1
curry,spinach,7,0,0,1,2,0,0,0,1,2
date,milk/cream,7,2,1,0,0,5,0,1,0,6
date,orange,7,0,0,1,1,5,0,0,1,3
dill,fennel,7,0,0,1,0,0,0,0,2,3
dried fruit,egg,7,1,1,0,0,5,0,0,0,6
dried fruit,orange,7,0,0,0,0,3,0,1,2,4
dried fruit,port,7,0,0,1,2,1,0,0,4,4
dried fruit,white wine,7,0,0,0,1,3,0,1,3,2
duck,ginger,7,0,0,0,4,0,0,0,0,0
duck,thyme,7,0,0,0,1,0,0,0,0,0
duck,white wine,7,0,0,0,5,0,0,0,0,0
egg,fennel,7,0,1,2,3,0,0,0,0,4
egg,green onion/scallion,7,2,3,2,3,0,0,0,0,3
egg,soy sauce,7,0,0,1,5,0,0,0,0,1
egg,tuna,7,0,0,3,0,0,0,0,0,0
eggplant,fish,7,0,0,2,4,0,0,0,0,0
eggplant,ricotta,7,0,0,0,0,0,0,0,0,2
eggplant,squash,7,0,0,1,2,0,0,0,1,6
eggplant,yellow squash,7,0,0,0,1,0,0,0,3,6
endive,tarragon,7,0,0,1,0,0,0,0,0,4
escarole,onion,7,0,0,2,0,0,0,0,1,5
fennel,lobster,7,0,0,1,1,0,0,0,0,0
fennel,pepper,7,0,1,2,2,0,0,0,1,2
fennel,raisin,7,1,1,0,1,1,0,0,2,5
fennel,salmon,7,0,0,1,3,0,0,0,0,0
fennel,snapper,7,0,0,0,2,0,0,0,0,0
feta,parmesan,7,0,0,1,0,0,0,0,0,4
feta,pepper,7,0,1,1,1,0,0,0,0,3
feta,watermelon,7,1,0,3,2,0,0,0,0,6
fig,herb,7,1,1,0,2,0,0,0,1,1
fig,pork,7,0,0,0,3,0,0,0,0,0
fig,prosciutto,7,0,0,1,0,0,0,0,0,0
fig,raspberry,7,0,0,0,0,7,0,0,1,1
fish,tortillas,7,1,1,1,1,0,0,0,0,1
fruit juice,poultry,7,0,0,0,1,0,0,0,0,0
fruit juice,vanilla,7,0,0,0,0,4,0,3,0,2
garlic,horseradish,7,1,1,0,2,0,0,0,0,1
garlic,lamb chop,7,0,0,0,2,0,0,0,0,0
garlic,rack of lamb,7,0,0,0,2,0,0,0,0,0
garlic,salmon,7,1,1,1,1,0,0,0,0,0
garlic,scallop,7,0,0,0,1,0,0,0,0,0
garlic,squash,7,0,0,1,2,0,0,0,0,3
garlic,watercress,7,0,0,0,0,0,0,0,0,2
gin,pineapple,7,0,0,0,0,0,0,7,0,0
gin,rum,7,0,0,0,0,0,0,7,0,0
ginger,lentil,7,0,0,1,2,0,0,0,5,6
ginger,maple syrup,7,0,1,0,0,4,0,0,2,2
ginger,mustard,7,0,0,0,0,0,0,0,0,0
ginger,potato,7,0,0,3,3,0,0,0,1,3
ginger,snapper,7,0,0,0,3,0,0,0,0,0
ginger,strawberry,7,0,0,0,0,6,0,1,3,4
goat cheese,lettuce,7,0,1,1,1,0,0,0,0,4
goat cheese,white wine,7,0,0,0,0,0,0,0,0,4
grape,orange,7,1,1,0,0,4,0,2,2,3
green bean,hot pepper,7,0,0,1,2,0,0,0,5,5
green bean,milk/cream,7,0,0,0,2,0,0,0,0,2
green bean,prosciutto,7,0,1,1,2,0,0,0,0,0
green bean,radish,7,0,1,1,1,0,0,0,2,1
green onion/scallion,mayonnaise,7,0,0,1,1,0,0,0,0,4
green onion/scallion,sausage,7,1,3,2,5,0,0,0,0,0
halibut,white wine,7,0,0,0,2,0,0,0,0,0
ham,leafy green,7,0,0,1,1,0,0,0,0,0
hazelnut,walnut,7,0,0,1,0,5,0,0,2,7
herb,honey,7,0,0,0,0,1,0,0,0,2
herb,horseradish,7,0,2,1,1,0,0,0,0,3
herb,lemongrass,7,0,0,0,2,0,0,0,0,0
herb,lima bean,7,0,0,0,0,0,0,0,1,1
herb,pear,7,1,1,0,1,1,0,0,0,1
herb,tortillas,7,0,0,1,1,0,0,0,0,2
hominy/cornmeal/masa,tomato,7,0,0,1,2,0,0,0,0,2
honey,salmon,7,0,0,0,1,0,0,0,0,0
honey,sweet potato/yam,7,1,1,0,0,1,0,0,0,4
honey,vanilla,7,0,0,0,0,6,0,1,0,4
horseradish,lemon,7,0,2,0,0,0,0,2,0,3
hot pepper,mango,7,0,0,0,1,0,0,0,2,2
hot pepper,pineapple,7,0,0,0,1,0,0,0,1,1
jalapeno,mayonnaise,7,0,0,1,1,0,0,0,0,0
jalapeno,milk/cream,7,0,0,1,0,0,0,0,0,2
jalapeno,orange,7,0,0,0,0,0,0,0,0,0
jalapeno,yogurt,7,0,0,0,0,0,0,0,0,2
kale,mushroom,7,0,0,1,5,0,0,0,1,2
kale,pasta,7,0,0,2,7,0,0,0,0,3
kale,sausage,7,0,0,3,5,0,0,0,0,0
kale,white wine,7,0,0,0,1,0,0,0,0,0
lamb,pomegranate,7,0,0,0,2,0,0,0,0,0
lamb,white wine,7,0,0,0,2,0,0,0,0,0
lamb chop,lemon,7,0,0,0,1,0,0,0,0,0
lamb shank,onion,7,0,0,0,0,0,0,0,0,0
leafy green,leek,7,0,0,0,2,0,0,0,0,3
leafy green,pea,7,0,0,1,2,0,0,0,0,0
leek,oyster,7,0,0,1,0,0,0,0,0,0
leek,parsnip,7,0,0,0,0,0,0,0,1,2
leek,pasta,7,0,0,1,2,0,0,0,0,3
leek,pea,7,0,0,1,0,0,0,0,0,1
leek,sausage,7,0,1,2,0,0,0,0,0,0
legume,onion,7,0,0,2,1,0,0,0,5,6
lemon,peach,7,0,0,0,0,2,0,4,0,2
lemon,pear,7,0,0,0,0,6,0,1,0,3
lemon,rhubarb,7,0,2,0,1,4,0,1,2,4
lemon,saffron,7,0,0,0,0,1,0,0,0,1
lemon,tuna,7,0,0,1,0,0,0,0,0,0
lemongrass,peanut,7,0,0,0,0,0,0,0,0,1
lemongrass,pepper,7,1,0,0,0,0,0,0,0,0
lettuce,mango,7,0,0,2,2,0,0,0,0,2
lettuce,potato,7,0,0,2,1,0,0,0,0,0
lettuce,salad dressing,7,0,0,2,2,0,0,0,1,5
lettuce,vinegar,7,0,0,1,1,0,0,0,3,4
lime,parsley,7,0,0,2,2,0,0,0,0,3
lime,rice,7,0,0,0,1,1,0,0,1,4
lime,vanilla,7,0,0,0,0,6,0,1,0,1
lime,vodka,7,0,2,0,0,0,0,6,1,1
lime,watermelon,7,0,0,0,0,2,0,3,2,2
lime juice,rum,7,0,0,0,0,2,0,4,2,2
liqueur,pineapple,7,0,0,0,0,0,0,7,0,0
liqueur,wine,7,0,0,0,0,1,0,6,0,1
lobster,white wine,7,0,0,0,1,0,0,0,0,0
maple syrup,oat,7,3,2,0,0,3,0,0,2,5
milk/cream,passion fruit,7,0,0,0,0,7,0,0,0,3
milk/cream,pernod,7,0,0,2,0,4,0,1,0,2
milk/cream,pine nut,7,1,0,0,0,3,0,0,0,4
milk/cream,pork tenderloin,7,0,0,0,2,0,0,0,0,0
milk/cream,vodka,7,0,1,0,0,1,0,5,0,0
mint,ricotta,7,1,1,1,2,1,0,0,0,5
mint,shrimp,7,0,0,2,1,0,0,0,0,0
mint,walnut,7,0,0,2,2,1,0,0,1,4
mint,white wine,7,0,0,0,0,1,0,3,1,0
molasses,pecan,7,1,1,0,0,6,0,0,0,3
mozzarella,potato,7,0,0,0,1,0,0,0,0,6
mozzarella,prosciutto,7,0,0,3,0,0,0,0,0,0
mozzarella,spinach,7,0,0,0,3,0,0,0,0,4
mushroom,sage,7,0,0,0,1,0,0,0,1,2
mushroom,salmon,7,0,0,0,3,0,0,0,0,0
mussel,parsley,7,0,0,0,0,0,0,0,0,0
mustard,red wine,7,0,0,0,1,0,0,0,0,0
mustard,spinach,7,1,1,1,0,0,0,0,1,4
nectarine,peach,7,0,0,0,0,3,0,1,1,3
noodle,parmesan,7,0,0,1,5,0,0,0,0,2
noodle,pea,7,0,0,1,6,0,0,0,0,2
noodle,pork,7,0,1,5,5,0,0,0,0,0
nutmeg,orange,7,0,1,0,0,1,0,5,0,1
olive,red wine,7,0,0,1,0,0,0,0,0,1
olive,rice,7,0,0,0,2,0,0,0,0,1
onion,peanut,7,0,0,2,1,0,0,0,0,2
onion,scallop,7,0,0,1,1,0,0,0,0,0
onion,trout,7,0,1,1,0,0,0,0,0,0
parmesan,red wine,7,0,0,0,1,0,0,0,0,1
parmesan,sweet potato/yam,7,1,0,0,1,0,0,0,0,4
parmesan,tarragon,7,0,0,0,1,0,0,0,0,3
parsley,spinach,7,0,0,0,0,0,0,0,1,2
parsley,zucchini,7,0,0,3,3,0,0,0,3,5
parsnip,thyme,7,0,0,0,1,0,0,0,1,1
pea,prosciutto,7,1,1,1,1,0,0,0,0,0
peach,pork,7,0,0,0,2,0,0,0,0,0
peanut,shrimp,7,0,0,2,2,0,0,0,0,0
pear,raspberry,7,0,0,0,0,7,0,0,0,6
pepper,spinach,7,1,1,2,1,0,0,0,0,5
pepper,yogurt,7,0,0,0,1,0,0,0,0,2
phyllo/puff pastry dough,walnut,7,0,0,0,0,6,0,0,0,4
pine nut,yogurt,7,0,0,0,1,1,0,0,0,2
pineapple,strawberry,7,1,2,0,0,6,0,2,1,5
pineapple,tomato,7,0,0,1,1,0,0,0,2,2
pork tenderloin,soy sauce,7,0,0,0,3,0,0,0,0,0
potato,scallop,7,0,0,1,1,0,0,0,0,0
potato,sugar snap pea,7,0,0,1,1,0,0,0,2,5
poultry,red wine,7,0,0,0,3,0,0,0,0,0
poultry,spinach,7,0,0,1,4,0,0,0,0,0
prosciutto,sage,7,0,0,0,1,0,0,0,0,0
prosciutto,white wine,7,0,0,0,0,0,0,0,0,0
raspberry,rhubarb,7,0,1,0,0,6,0,0,0,5
raspberry,yogurt,7,2,1,0,0,5,0,1,0,5
rice,salmon,7,0,0,0,3,0,0,0,0,0
rice,scallop,7,0,0,0,1,0,0,0,0,0
rice,soy sauce,7,0,0,0,2,0,0,0,0,0
rice,yogurt,7,0,0,0,1,0,0,0,0,3
ricotta,zucchini,7,0,0,2,3,0,0,0,0,5
rosemary,turnip,7,0,0,0,1,0,0,0,1,3
rosemary,wine,7,0,0,0,3,0,0,0,0,0
rum,strawberry,7,0,0,0,0,4,0,3,2,4
rum,triple sec,7,0,0,0,0,0,0,7,0,0
rum,vanilla,7,0,0,0,0,4,0,3,0,3
rye,whiskey,7,0,0,0,0,0,0,6,0,0
sage,veal,7,0,0,0,1,0,0,0,0,0
salad dressing,yogurt,7,0,0,1,1,0,0,0,0,2
scallop,tarragon,7,0,0,0,0,0,0,0,0,0
sherry,shrimp,7,0,0,0,0,0,0,0,0,0
shrimp,vinegar,7,0,0,0,0,0,0,0,0,0
shrimp,zucchini,7,0,0,3,3,0,0,0,0,0
sour cream,spinach,7,0,0,0,0,0,0,0,0,4
spinach,white wine,7,0,0,1,0,0,0,0,0,1
strawberry,tequila,7,0,0,0,0,3,0,4,3,2
strawberry,yogurt,7,1,3,0,0,5,0,2,0,4
tarragon,zucchini,7,0,1,5,0,0,0,0,2,5
thyme,vinegar,7,0,0,0,1,0,0,0,2,2
tomatillo,tortillas,7,3,1,0,1,0,0,0,0,2
trout,white wine,7,0,0,0,2,0,0,0,0,0
walnut,zucchini,7,1,2,1,2,0,0,0,1,6
almond,basil,6,0,0,1,4,0,0,0,0,5
almond,blackberry,6,0,0,0,0,6,0,0,1,4
almond,blue cheese,6,0,0,3,2,0,0,0,0,4
almond,clove,6,0,0,0,1,3,0,0,0,1
almond,couscous,6,1,1,0,0,0,0,0,2,4
almond,fruit juice,6,1,1,0,0,2,0,2,0,4
almond,lime,6,0,0,0,0,5,0,0,0,2
almond,nectarine,6,0,0,2,0,3,0,0,0,4
almond,parmesan,6,0,0,2,4,0,0,0,0,5
almond,peach,6,0,0,0,0,5,0,1,0,4
almond,poultry,6,0,0,0,2,0,0,0,0,0
almond,saffron,6,0,0,0,1,1,0,0,3,4
almond,yogurt,6,3,1,0,0,2,0,1,0,2
amaretto,liqueur,6,0,0,0,0,2,0,4,0,2
anise,chocolate,6,0,0,0,0,4,0,1,0,3
anise,citrus,6,2,3,0,0,3,0,0,2,2
anise,coriander,6,0,0,0,0,1,0,1,2,4
anise,mango,6,0,0,0,1,2,0,0,2,4
anise,onion,6,0,0,1,1,0,0,0,0,0
anise,soy sauce,6,0,0,2,2,0,0,0,0,0
apple,beef,6,0,0,0,0,0,0,0,0,0
apple,bell pepper,6,0,0,0,0,0,0,0,0,0
apple,chestnut,6,0,0,0,0,2,0,0,1,2
apple,horseradish,6,0,0,0,0,0,0,0,1,2
apple,parsnip,6,0,0,0,0,0,0,0,0,1
apple,pineapple,6,0,1,0,0,1,0,2,1,0
apple,thyme,6,0,0,0,1,0,0,0,0,1
apricot,date,6,0,0,0,0,3,0,0,0,2
apricot,hazelnut,6,0,0,0,0,4,0,0,0,3
apricot,pork,6,1,1,0,2,0,0,0,0,0
apricot,raspberry,6,0,1,0,0,6,0,0,1,5
apricot,white wine,6,1,1,0,1,3,0,0,4,3
artichoke,bean,6,0,0,0,0,0,0,0,0,2
artichoke,lamb,6,0,0,0,2,0,0,0,0,0
artichoke,mayonnaise,6,0,1,0,0,0,0,0,0,4
artichoke,mint,6,0,0,0,1,0,0,0,2,3
artichoke,mozzarella,6,0,0,1,0,0,0,0,0,1
artichoke,sausage,6,0,0,0,1,0,0,0,0,1
arugula,bean,6,0,0,0,0,0,0,0,0,3
arugula,corn,6,0,0,0,0,0,0,0,0,4
arugula,cucumber,6,0,0,0,1,0,0,1,0,0
arugula,mustard,6,0,0,1,2,0,0,0,1,1
arugula,poultry,6,0,0,2,5,0,0,0,0,0
arugula,spinach,6,1,1,0,0,0,0,0,1,3
arugula,walnut,6,0,0,0,0,0,0,0,0,3
arugula,white wine,6,0,0,0,0,0,0,0,0,0
asparagus,basil,6,0,0,0,1,0,0,0,0,1
asparagus,carrot,6,0,0,0,2,0,0,0,0,1
asparagus,green bean,6,0,0,0,2,0,0,0,1,4
asparagus,leek,6,1,1,0,0,0,0,0,0,2
asparagus,mint,6,0,0,0,0,0,0,0,0,2
asparagus,shrimp,6,0,0,1,0,0,0,0,0,0
avocado,pineapple,6,0,0,1,1,0,0,0,5,4
bacon,brussel sprout,6,0,0,0,0,0,0,0,0,0
bacon,chestnut,6,0,0,0,0,0,0,0,0,0
bacon,green bean,6,0,0,0,0,0,0,0,0,0
bacon,jam or jelly,6,0,0,0,1,0,0,0,0,0
bacon,maple syrup,6,0,1,0,1,1,0,0,0,0
bacon,orange,6,0,0,1,0,0,0,0,0,0
bacon,parsley,6,0,0,0,1,0,0,0,0,0
bacon,raisin,6,0,0,0,0,1,0,0,0,0
bacon,scallop,6,0,0,0,0,0,0,0,0,0
bacon,shrimp,6,0,0,0,1,0,0,0,0,0
bacon,walnut,6,0,0,1,2,1,0,0,0,0
banana,macadamia nut,6,2,3,0,1,1,0,0,0,3
banana,vanilla,6,0,0,0,0,4,0,1,0,3
barley,parmesan,6,0,0,0,2,0,0,0,0,2
basil,crab,6,0,0,1,2,0,0,0,0,0
basil,fennel,6,0,0,0,2,0,0,0,0,2
basil,halibut,6,0,0,0,0,0,0,0,0,0
basil,jalapeno,6,0,0,2,0,0,0,0,2,2
basil,lemongrass,6,0,0,1,0,0,0,0,0,0
basil,lobster,6,0,0,1,1,0,0,0,0,0
basil,melon,6,0,0,1,1,3,0,1,4,4
basil,tarragon,6,0,0,2,2,0,0,0,0,1
basil,veal,6,0,0,0,0,0,0,0,0,0
basil,walnut,6,0,0,2,3,0,0,0,0,3
basil,yogurt,6,1,1,1,0,1,0,0,0,1
bass,white wine,6,0,0,0,1,0,0,0,0,0
bean,goat cheese,6,0,0,0,1,0,0,0,0,3
bean,leek,6,0,0,0,0,0,0,0,0,0
bean,lettuce,6,0,0,2,0,0,0,0,0,0
bean,monterey jack,6,0,0,1,1,0,0,0,0,5
bean,thyme,6,0,0,0,3,0,0,0,2,2
beef,beef shank,6,0,0,0,1,0,0,0,0,0
beef,broccoli,6,0,0,1,1,0,0,0,0,0
beef,clove,6,0,0,0,2,0,0,0,0,0
beef,dill,6,0,0,0,0,0,0,0,0,0
beef,lamb,6,0,0,0,0,0,0,0,0,0
beef,leek,6,1,0,0,1,0,0,0,0,0
beef,lemongrass,6,1,0,2,2,0,0,0,0,0
beef,pea,6,0,0,0,2,0,0,0,0,0
beef,soy,6,0,0,0,3,0,0,0,0,0
beef,spinach,6,0,0,1,1,0,0,0,0,0
beef rib,herb,6,0,0,0,4,0,0,0,0,0
beef rib,mushroom,6,0,0,0,5,0,0,0,0,0
beef rib,potato,6,0,0,0,5,0,0,0,0,0
beef rib,red wine,6,0,0,0,3,0,0,0,0,0
beef tenderloin,mustard,6,0,0,0,1,0,0,0,0,0
beef tenderloin,red wine,6,0,0,0,1,0,0,0,0,0
beer,onion,6,0,0,0,1,0,0,0,0,0
beet,feta,6,0,0,1,3,0,0,0,0,6
beet,honey,6,0,0,0,0,0,0,0,0,3
beet,milk/cream,6,1,1,1,1,0,0,0,0,2
beet,mint,6,0,0,1,0,0,0,0,1,5
beet,pasta,6,0,0,3,3,0,0,0,0,6
beet,watercress,6,0,0,1,1,0,0,0,2,4
bell pepper,chile pepper,6,0,2,0,4,0,0,0,1,1
bell pepper,citrus,6,0,0,1,1,0,0,0,1,1
bell pepper,cream cheese,6,0,1,1,0,0,0,0,0,2
bell pepper,mussel,6,0,0,0,0,0,0,0,0,0
bell pepper,saffron,6,0,0,0,0,0,0,0,0,0
bell pepper,tofu,6,0,0,0,1,0,0,0,2,3
berry,honey,6,1,1,0,0,4,0,1,0,3
berry,mint,6,0,2,0,1,3,0,0,2,3
berry,nectarine,6,0,1,0,0,6,0,0,1,5
berry,oat,6,2,1,0,0,4,0,0,0,4
berry,phyllo/puff pastry dough,6,0,0,0,0,6,0,0,0,4
bitters,pineapple,6,0,0,0,0,0,0,6,0,0
blackberry,lime,6,0,0,0,0,3,0,2,0,3
blackberry,nectarine,6,0,0,0,0,6,0,0,0,4
blackberry,oat,6,1,0,0,0,5,0,0,0,2
blue cheese,cream cheese,6,0,0,0,1,0,0,0,0,3
blue cheese,herb,6,0,0,1,1,0,0,0,0,3
blue cheese,port,6,0,0,0,0,0,0,0,0,1
blue cheese,poultry,6,0,1,3,1,0,0,0,0,0
blue cheese,spinach,6,0,0,0,0,0,0,0,0,5
blue cheese,watercress,6,0,0,3,1,0,0,0,0,2
blueberry,chocolate,6,0,1,0,0,6,0,0,0,4
blueberry,cinnamon,6,1,0,0,0,3,0,0,0,4
blueberry,mint,6,0,2,0,0,6,0,0,3,5
blueberry,oat,6,4,2,0,0,2,0,0,0,3
blueberry,orange,6,0,1,0,0,5,0,0,0,3
blueberry,sour cream,6,0,1,1,0,6,0,0,0,1
blueberry,vanilla,6,0,0,0,0,6,0,0,0,4
bok choy,garlic,6,0,0,0,3,0,0,0,2,2
bok choy,leafy green,6,0,0,0,5,0,0,0,0,0
bok choy,soy sauce,6,0,0,0,1,0,0,0,1,2
brandy,cognac/armagnac,6,0,0,0,0,2,0,3,0,2
brandy,cranberry,6,0,0,0,0,3,0,3,2,3
brandy,fig,6,0,0,0,0,4,0,0,2,3
brandy,garlic,6,0,0,0,2,0,0,0,0,0
brandy,pineapple,6,0,0,0,0,1,0,5,0,1
bread,butter,6,2,2,1,1,0,0,0,0,4
bread,buttermilk,6,1,1,0,1,0,0,0,0,3
bread,hot pepper,6,0,0,1,0,0,0,0,0,4
bread,poppy,6,1,1,0,0,0,0,0,1,3
bread,sage,6,1,1,0,0,0,0,0,0,1
bread,sweet potato/yam,6,2,0,0,0,0,0,0,1,3
brine,poultry,6,0,0,0,1,0,0,0,0,0
broccoli,lemon,6,0,0,0,1,0,0,0,3,4
broccoli,mushroom,6,0,0,0,1,0,0,0,1,4
broccoli,soy sauce,6,0,0,2,2,0,0,0,2,3
broccoli rabe,parmesan,6,0,0,1,2,0,0,0,0,0
butter,cheddar,6,0,0,0,1,1,0,0,0,2
buttermilk,chicken,6,1,1,1,4,0,0,0,0,0
buttermilk,cornmeal,6,1,1,1,2,0,0,0,0,1
butternut squash,corn,6,0,0,1,1,0,0,0,0,2
butternut squash,cornmeal,6,0,0,0,0,0,0,0,0,2
butternut squash,parsnip,6,0,0,1,1,0,0,0,1,4
butternut squash,pork,6,0,0,1,1,0,0,0,0,0
butternut squash,rice,6,0,0,0,1,0,0,0,0,0
cabbage,cheese,6,0,0,2,0,0,0,0,0,3
cabbage,lime,6,0,0,0,0,0,0,0,1,2
cabbage,milk/cream,6,0,0,0,0,0,0,0,0,3
cabbage,noodle,6,0,0,1,5,0,0,0,0,1
cabbage,pepper,6,0,0,0,1,0,0,0,2,3
cabbage,spinach,6,0,0,1,1,0,0,0,0,0
campari,gin,6,0,0,0,0,0,0,6,0,0
campari,orange,6,0,0,0,0,1,0,5,1,1
capers,raisin,6,0,0,0,0,0,0,0,1,1
capers,thyme,6,0,0,0,0,0,0,0,1,1
caraway,coriander,6,0,0,1,1,0,0,0,0,1
cardamom,clove,6,0,0,0,1,1,0,2,0,1
cardamom,orange,6,0,0,1,1,1,0,2,0,1
carrot,coriander,6,0,0,0,3,0,0,0,2,3
carrot,cumin,6,0,0,2,1,0,0,0,2,3
carrot,horseradish,6,0,0,0,2,0,0,0,0,3
carrot,saffron,6,0,0,0,1,0,0,0,0,0
cashew,chicken,6,0,0,0,1,0,0,0,0,0
cauliflower,parmesan,6,0,0,1,2,0,0,0,0,4
cauliflower,pasta,6,0,0,2,3,0,0,0,2,4
celery,chive,6,0,0,1,0,0,0,0,0,3
celery,cilantro,6,0,0,0,0,0,0,0,2,1
celery,citrus,6,0,0,0,0,0,0,0,1,0
celery,corn,6,0,0,0,0,0,0,0,0,0
celery,fish,6,0,0,0,2,0,0,0,0,0
celery,jalapeno,6,0,0,0,1,0,0,0,2,3
celery,leafy green,6,1,0,0,0,0,0,1,2,3
celery,lima bean,6,0,0,1,0,0,0,0,0,0
celery,radish,6,0,0,0,1,0,0,0,2,2
celery,red wine,6,0,0,0,1,0,0,0,0,0
celery,rosemary,6,0,0,1,2,0,0,0,0,0
celery,tarragon,6,0,0,1,0,0,0,0,0,0
celery,vinegar,6,0,0,0,0,0,0,0,2,5
chard,onion,6,0,0,1,1,0,0,0,2,6
cheddar,cilantro,6,0,0,1,0,0,0,0,0,3
cheddar,corn,6,0,0,0,0,0,0,0,0,0
cheddar,dill,6,2,2,0,0,0,0,0,0,1
cheddar,mustard,6,0,0,1,0,0,0,0,0,1
cheese,dill,6,2,2,0,0,0,0,0,0,2
cheese,monterey jack,6,0,0,0,1,0,0,0,0,4
cheese,radish,6,0,0,2,2,0,0,0,0,3
cheese,squash,6,0,0,2,2,0,0,0,0,4
cheese,tomatillo,6,1,0,1,1,0,0,0,0,2
cherry,cream cheese,6,0,0,0,0,6,0,0,0,5
cherry,fig,6,0,0,0,0,3,0,0,2,3
cherry,goat cheese,6,1,1,0,0,2,0,0,0,3
cherry,leafy green,6,0,0,2,2,0,0,0,1,4
cherry,liqueur,6,0,0,0,0,2,0,4,0,0
cherry,oat,6,1,0,0,0,5,0,0,0,4
cherry,peach,6,0,0,0,0,4,0,1,0,3
cherry,pecan,6,0,0,0,0,5,0,0,0,6
chestnut,poultry,6,0,0,0,4,0,0,0,0,0
chestnut,sage,6,0,0,2,3,0,0,0,0,3
chicken,chive,6,0,0,0,2,0,0,0,0,0
chicken,green onion/scallion,6,0,0,0,5,0,0,0,0,0
chickpea,cucumber,6,0,0,3,1,0,0,0,0,2
chickpea,legume,6,0,0,3,4,0,0,0,4,4
chickpea,potato,6,0,0,1,1,0,0,0,2,6
chile pepper,green onion/scallion,6,0,0,0,1,0,0,0,2,3
chile pepper,peanut,6,0,0,0,1,0,0,0,0,0
chile pepper,vinegar,6,0,0,0,3,0,0,0,1,2
chive,leafy green,6,0,0,0,1,0,0,0,2,3
chive,pork,6,3,3,1,1,0,0,0,0,0
chive,scallop,6,0,0,0,1,0,0,0,0,0
chocolate,currant,6,1,1,0,0,5,0,0,0,3
chocolate,fruit juice,6,0,0,0,0,6,0,0,0,4
chocolate,hot pepper,6,0,0,0,0,1,0,1,0,0
chocolate,ricotta,6,0,0,0,0,5,0,0,0,3
cilantro,cinnamon,6,0,0,1,0,2,0,0,3,3
cilantro,cornmeal,6,0,1,1,1,0,0,0,0,2
cilantro,crab,6,0,0,1,0,0,0,0,0,0
cilantro,cream cheese,6,1,1,2,0,0,0,0,0,3
cilantro,eggplant,6,0,0,0,2,0,0,0,2,3
cilantro,feta,6,1,1,0,2,0,0,0,0,4
cilantro,lettuce,6,0,0,0,0,0,0,0,1,1
cilantro,papaya,6,0,0,0,0,2,0,0,2,3
cilantro,paprika,6,0,0,1,4,0,0,0,0,1
cilantro,radish,6,1,1,2,2,0,0,0,0,2
cilantro,scallop,6,0,0,0,1,0,0,0,0,0
cilantro,sweet potato/yam,6,0,0,0,1,0,0,0,1,1
cinnamon,couscous,6,1,1,0,0,1,0,0,0,3
cinnamon,currant,6,1,1,0,0,3,0,0,2,4
cinnamon,peach,6,0,0,0,0,2,0,1,0,1
cinnamon,plum,6,0,0,0,0,2,0,1,3,4
cinnamon,poultry,6,0,0,1,0,0,0,0,0,0
citrus,duck,6,0,0,1,3,0,0,0,0,0
citrus,halibut,6,0,0,0,3,0,0,0,0,0
citrus,port,6,0,0,0,0,0,0,3,0,0
citrus,raisin,6,0,0,0,1,4,0,0,1,3
citrus,watercress,6,0,0,1,0,0,0,0,2,3
clam,mushroom,6,0,0,0,1,0,0,0,0,0
clove,coriander,6,0,0,1,1,1,0,1,0,1
clove,garlic,6,0,0,0,1,0,0,0,0,1
clove,ham,6,0,0,0,2,0,0,0,0,0
clove,pecan,6,0,0,0,0,5,0,0,0,4
clove,rice,6,0,0,0,1,0,0,0,2,5
clove,thyme,6,0,0,0,2,0,0,0,0,1
clove,white wine,6,0,0,0,2,4,0,0,4,3
coconut,coriander,6,0,0,1,1,0,0,0,0,0
coconut,hot pepper,6,0,0,0,1,0,0,0,0,0
coconut,walnut,6,1,0,0,0,4,0,0,0,1
cod,olive,6,0,0,0,2,0,0,0,0,0
coffee,rum,6,0,0,0,0,4,0,2,0,2
coffee,vanilla,6,1,1,0,0,5,0,2,0,5
cognac/armagnac,white wine,6,0,0,0,1,0,0,2,0,0
coriander,fish,6,0,0,1,2,0,0,0,0,0
coriander,pork,6,0,0,0,1,0,0,0,0,0
coriander,tomato,6,0,0,0,2,0,0,0,0,1
corn,lime,6,0,0,0,0,0,0,0,0,4
corn,lobster,6,0,0,3,2,0,0,0,0,0
corn,mint,6,0,0,2,4,0,0,0,1,4
corn,pasta,6,0,0,1,4,0,0,0,1,3
cornmeal,mushroom,6,0,0,0,1,0,0,0,0,1
couscous,dried fruit,6,1,1,0,1,0,0,0,2,3
couscous,herb,6,0,0,1,0,0,0,0,2,2
couscous,parsley,6,0,0,1,1,0,0,0,1,3
couscous,pasta,6,0,0,0,1,0,0,0,3,4
couscous,pine nut,6,0,0,0,2,0,0,0,1,1
couscous,saffron,6,0,0,0,1,0,0,0,1,1
crab,garlic,6,0,0,0,0,0,0,0,0,0
crab,tarragon,6,0,1,1,0,0,0,0,0,0
